Target ID,Title,Live Site Status,QA Result,QA Issue - Content,QA Issue - Appearence,QA Issue - Functionality,Open Access,Primary URL,Other URLs
38507,Scottish Libertarians,LIVE,"QA issues, but OK to publish",False,False,False,False,http://scottishlibertarians.com/,['http://scottishlibertarians.com/sitemap.xml']
4258,Scottish Communists,LIVE,QA issues found,True,False,False,True,http://www.scottishcommunists.org.uk/,[]
3157,Scottish National Party,LIVE,QA issues found,True,False,False,True,http://www.snp.org/,"['http://www.snp.org/sitemap_index.xml', 'https://maxcdn.bootstrapcdn.com/', 'https://thesnp.nationbuilder.com/']"
4260,Scottish Greens,LIVE,QA issues found,True,False,False,False,https://www.greens.scot/,['https://www.greens.scot/sitemap.xml']
3154,Scottish Liberal Democrats,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.scotlibdems.org.uk/,[]
34213,RISE: Scotland's Left Alliance,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.rise.scot/,[]
3066,Highlands and Islands Enterprise (HIE),LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.hie.co.uk/,['http://www.hie.co.uk/sitemap.ashx']
15947,"Standards Commission for Scotland, The",LIVE,QA issues found,False,False,False,True,http://www.standardscommissionscotland.org.uk/,['http://www.standardscommissionscotland.org.uk/sitemap.xml']
3152,"Scottish Government, The ",LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.gov.scot/,"['http://www.gov.scot/Topics/', 'http://www.gov.scot/Site-Map', 'http://www.gov.scot/seso/SiteMap.aspx']"
40775,Parliamentary Business | Business Bulletin (beta) | Scottish Parliament,LIVE,QA issues found,False,False,False,False,https://bb.parliament.scot/,[]
21585,Mike Scott-Hayward,LIVE,No QA issues found (OK to publish),True,False,False,True,http://mikescotthayward.blogspot.co.uk/,[]
3013,British Library,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.bl.uk/,[]
3180,Transport Scotland / Comhdhail Alba,LIVE,QA issues found,False,False,False,True,https://www.transport.gov.scot/,['https://www.transport.gov.scot/sitemap.xml']
32241,"EPCC, University of Edinburgh",LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.epcc.ed.ac.uk/,[]
32086,Political Settlements Research Programme,LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.politicalsettlements.org/,['http://blogs.sps.ed.ac.uk/politicalsettlements/files/']
52439,Daisy Cooper (@LibDemDaisy) on Twitter (Liberal Democrats Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/libdemdaisy/,[]
38832,Cllr Isobel Davidson (@isobeldavidson) on Twitter,LIVE,"QA issues, but OK to publish",False,False,False,False,https://twitter.com/isobeldavidson/,[]
53856,Chris Williamson (@ChriswMP) on Twitter (Labour Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/derbychrisw/,['https://twitter.com/ChriswMP/']
53782,Welling Borough Libdems,NO_LONGER_UPDATED,No QA issues found (OK to publish),False,False,False,False,http://www.wellingboroughlibdems.org.uk/,[]
23486,Chris Nelson (@chris_nelson) on Twitter (Liberal Democrats Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/chris_nelson/,[]
54153,Chris Kealey (Labour Party  Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.kealey4bosworth.co.uk/,[]
53865,Carl Walker (@carl1545) on Twitter (National Health Action Party Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/carl1545/,[]
20661,Callum McCaig (@callum_mccaig) on Twitter,LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/callum_mccaig/,[]
54069,Bob Dhillon (@BobDhillon32) on Twitter (UKIP Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/BobDhillon32/,[]
53773,Annabel Tall (@annabeltall ) on Twitter (Conservative Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/annabeltall/,[]
81663,Hana Feels,LIVE,No QA issues found (OK to publish),False,False,False,True,http://hanafeels.com/index.html,"['http://hanafeels.com/images/will.png', 'http://hanafeels.com/images/mother.png', 'http://hanafeels.com/images/ernie.png', 'http://hanafeels.com/images/jen.png', 'http://hanafeels.com/images/christine.png', 'http://hanafeels.com/images/hanalogo.png', 'http://hanafeels.com/images/hanasil.png', 'http://hanafeels.com/images/hana2.png', 'http://hanafeels.com/images/hana.png', 'http://hanafeels.com/images', 'http://hanafeels.com/']"
24843,Amy Gray (Conservative Politician),LIVE,"QA issues, but OK to publish",True,False,False,False,http://www.amygray.org.uk/,[]
53766,Alberto Costa (@AlbertoCosta) on Twitter (Conservative Politician),VANISHED,"QA issues, but OK to publish",True,False,False,False,https://twitter.com/albertocostamp/,['https://twitter.com/AlbertoCosta/']
22096,Louise Ellman (@LouiseEllman) on Twitter (Labour  Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/louiseellman/,[]
22042,John Woodcock (@JWoodcockMP) on Twitter (Labour  Politician),LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/jwoodcockmp/,[]
31181,Caithness Horizons,LIVE,QA issues found,False,False,False,False,http://www.caithnesshorizonsmuseum.com/,"['https://caithnesshorizons.wordpress.com/', 'http://www.caithnesshorizons.co.uk/']"
86690,Nick Sanders,LIVE,"Failed, Do Not Publish",False,False,True,False,https://www.nicksanders.com/,[]
3184,UK Web Archive,LIVE,QA issues found,False,False,False,True,http://www.webarchive.org.uk/,[]
46635,News - gov.scot,LIVE,QA issues found,False,False,False,False,http://news.gov.scot/,['https://news.gov.scot/feed/rss']
72416,My World of Work,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.myworldofwork.co.uk/,['https://www.myworldofwork.co.uk/sitemap.xml']
55687,Scottish Geology,LIVE,QA issues found,False,False,False,True,http://www.scottishgeology.com/,"['https://www.scottishgeology.com/comments/feed/', 'https://www.scottishgeology.com/feed/']"
66438,Shepherd and Wedderburn LLP,LIVE,QA issues found,False,False,False,False,https://shepwedd.com/,['https://shepwedd.com/sitemap']
81701,Ughdarras nan Croitearan / Crofter's Commission,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.crofterscommission.org.uk/,[]
72376,Edinburgh Conservatives News,,"QA issues, but OK to publish",False,False,False,False,https://www.edinburghconservatives.org.uk/news/,[]
72471,East Renfrewshire Council,LIVE,No QA issues found (OK to publish),False,False,False,True,https://eastrenfrewshire.gov.uk/Home,[]
72486,Can Stop Smoking,,"QA issues, but OK to publish",False,False,False,True,http://www.canstopsmoking.com/,[]
72485,Act against harm: adult support and protection,,No QA issues found (OK to publish),False,False,False,True,http://www.actagainstharm.org/,[]
86274,Webdevlaw,LIVE,"QA issues, but OK to publish",False,False,False,False,https://webdevlaw.uk/,[]
978,Royal College of Nursing,,QA issues found,False,False,False,True,https://www.rcn.org.uk/,[]
86176,Brexit Update - Parliamentary Business :  Scottish Parliament,LIVE,No QA issues found (OK to publish),False,False,False,False,https://www.parliament.scot/parliamentarybusiness/CurrentCommittees/101103.aspx,[]
995,Royal College of Obstetricians and Gynaecologists,LIVE,QA issues found,False,False,False,False,http://www.rcog.org.uk/,[]
1017,Royal College of Radiologists,,QA issues found,False,False,False,False,http://www.rcr.ac.uk/,[]
2957,Trip Advisor,,QA issues found,False,False,False,False,http://www.tripadvisor.co.uk/,[]
2983,Argos.co.uk,,QA issues found,False,False,False,False,http://www.argos.co.uk,[]
2971,Next,,QA issues found,False,False,False,True,http://www.next.co.uk/,[]
84846,Frederick Douglass in Britain and Ireland,LIVE,"QA issues, but OK to publish",False,False,False,False,http://frederickdouglassinbritain.com/,[]
14349,Forestry Commission Scotland,LIVE,"QA issues, but OK to publish",False,False,False,True,http://scotland.forestry.gov.uk/,['http://scotland.forestry.gov.uk/sitemap']
48282,TalentScotland,LIVE,"QA issues, but OK to publish",False,False,False,False,https://www.talentscotland.com/,[]
16737,Survivor Scotland,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.survivorscotland.org.uk,[]
16793,Sexual Health Scotland,LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.sexualhealthscotland.co.uk,[]
85547,Ben Robinson,LIVE,QA issues found,False,False,False,False,http://www.benjackrobinson.com/,[]
987,Royal College of General Practitioners,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.rcgp.org.uk/,[]
1000,Royal College of Paediatrics and Child Health (RCPCH),LIVE,QA issues found,False,False,False,True,http://www.rcpch.ac.uk/,[]
66003,Scottish Drug Services Directory,LIVE,QA issues found,True,False,False,False,http://www.scottishdrugservices.com/,[]
16718,Digital Scotland,VANISHED,No QA issues found (OK to publish),False,False,False,True,http://www.scotlandsdigitalfuture.org,[]
85459,Radio Ysbyty Gwynedd,LIVE,"Failed, Do Not Publish",False,False,False,False,https://www.radioysbytygwynedd.com/,[]
85454,Road Safety Scotland,LIVE,QA issues found,False,False,False,True,https://roadsafety.scot/,['https://roadsafety.scot/sitemap.xml']
85410,Regional Networks,LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.regionalnetworks.org.uk/,[]
32546,Public Appointments,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.publicappointments.org/,[]
3264,Our NHS Scotland,,No QA issues found (OK to publish),False,False,False,True,http://www.ournhsscotland.com/,[]
3251,Organ Donation Scotland,,"QA issues, but OK to publish",False,False,False,True,http://www.organdonationscotland.org/,[]
71902,TimelineJS Embed,LIVE,QA issues found,False,False,False,False,https://cdn.knightlab.com/libs/timeline3/latest/embed/index.html?source=1-p14sdk0ZAvBnrdWG668Ap5MksnwDISDt2RX6sCqtzE/&font=Arial&lang=en&initial_zoom=6&width=960&height=650,[]
85124,Jobs & Business Glasgow,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.jbg.org.uk,[]
30460,Get into Gear,LIVE,QA issues found,False,False,True,True,http://www.getintogear.info/,[]
30457,Get in Lane,LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.getinlane.co.uk/,[]
16776,Feedgood Factor,,No QA issues found (OK to publish),False,False,False,True,http://www.feedgoodfactor.org.uk/,[]
30280,DrinkSmarter,LIVE,No QA issues found (OK to publish),False,False,True,True,http://www.drinksmarter.org/,[]
16707,Debt Arrangement Scheme (DAS),LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.dasscotland.gov.uk,[]
33930,Place Standard,LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.placestandard.scot/#/home,[]
84850,Studies in Travel Writing,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.studiesintravelwriting.com/,[]
5101,"Labour Party, The",LIVE,"QA issues, but OK to publish",True,False,False,False,http://www.labour.org.uk/,"['https://labour.org.uk/category/latest/stories/', 'https://labour.org.uk/category/latest/press-release/', 'https://labour.org.uk/press/', 'https://labour.org.uk/manifesto/manifesto-resources/', 'https://labour.org.uk/manifesto/', 'https://labour.org.uk/page/', 'https://labour.org.uk/issues/campaigns/', 'https://labour.org.uk/issues/', 'http://action.labour.org.uk/']"
31456,BBC micro:bit,LIVE,QA issues found,True,False,False,False,https://microbit.org/,['https://www.microbit.co.uk/']
8222,Tom Leonard,,QA issues found,False,False,False,True,http://www.tomleonard.co.uk/,['http://www.tomleonard.co.uk/sitemap.xml']
28703,"Carbon Trust, The",LIVE,QA issues found,False,False,False,False,http://www.carbontrust.com/,[]
84220,Violence Reduction Unit,LIVE,QA issues found,False,False,False,False,http://actiononviolence.org.uk/,[]
16760,Aboutscotland.in: The Official Gateway to Scotland,LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.aboutscotland.in,[]
16706,a2bsafely.com,LIVE,QA issues found,False,False,False,False,http://www.a2bsafely.com,[]
16065,NHS National Services Scotland,LIVE,QA issues found,True,False,False,True,https://nhsnss.org/,['https://nhsnss.org/sitemap']
41898,Zero Waste Scotland,LIVE,QA issues found,False,False,False,False,http://www.zerowastescotland.org.uk/,[]
13943,West Lothian Council,LIVE,No QA issues found (OK to publish),False,False,False,False,https://www.westlothian.gov.uk/,['https://www.westlothian.gov.uk/site-map']
16072,"State Hospital, The",LIVE,"QA issues, but OK to publish",True,False,False,True,https://www.tsh.scot.nhs.uk/,['https://www.tsh.scot.nhs.uk/Site_Map.htm']
15968,Scottish Police Authority (SPA),LIVE,QA issues found,False,False,False,False,http://www.spa.police.uk/,['http://www.spa.police.uk/sitemap.xml']
16078,Scottish Water,LIVE,No QA issues found (OK to publish),True,False,False,False,http://www.scottishwater.co.uk/,['http://www.scottishwater.co.uk/sitemap.xml']
16792,Scottish Leaders Forum,LIVE,QA issues found,False,False,False,False,http://www.scottishleadersforum.org/,"['https://scottishleadersforum.org/news-sitemap.xml', 'https://scottishleadersforum.org/sitemap.xml']"
15945,Scottish Human Rights Commission (SHRC),LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.scottishhumanrights.com/,['http://www.scottishhumanrights.com/sitemap.xml']
9422,Scottish Borders Council,,"QA issues, but OK to publish",False,False,False,False,http://www.scotborders.gov.uk/,['https://www.scotborders.gov.uk/site_map']
1933,Bournemouth Borough Council,,QA issues found,False,False,False,False,http://www.bournemouth.gov.uk/,[]
3825,Guido Fawkes Blog,,No QA issues found (OK to publish),False,False,False,True,http://order-order.com/,[]
83911,"Office of the Scottish Road Works Commissioner, The",LIVE,QA issues found,False,False,False,False,https://roadworks.scot/,['https://roadworks.scot/sitemap']
15973,Office of the Scottish Road Works Commissioner (OSRWC),LIVE,QA issues found,True,False,False,False,http://www.roadworksscotland.gov.uk/,['http://www.roadworksscotland.gov.uk/sitemap.xml']
14541,Risk Management Authority (RMA),,No QA issues found (OK to publish),False,False,False,True,http://www.rmascotland.gov.uk/,['http://www.rmascotland.gov.uk/sitemap.xml']
83910,Risk Management Authority (RMA),LIVE,"QA issues, but OK to publish",False,False,False,False,https://www.rma.scot/,['https://www.rma.scot/sitemap.xml']
48268,Her Majesty's Chief Inspector of Prisons for Scotland (HMIPS),LIVE,"QA issues, but OK to publish",False,False,False,False,https://www.prisonsinspectoratescotland.gov.uk/,['https://www.prisonsinspectoratescotland.gov.uk/sitemap']
15987,NHS Orkney,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.ohb.scot.nhs.uk/,['http://www.ohb.scot.nhs.uk/sitemap.xml']
13905,North Ayrshire Council,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.north-ayrshire.gov.uk/,[]
15985,NHS Lanarkshire,LIVE,QA issues found,True,False,True,True,http://www.nhslanarkshire.org.uk/,['http://www.nhslanarkshire.org.uk/mapsite/Pages/default.aspx']
15979,NHS Dumfries & Galloway,LIVE,QA issues found,True,False,False,True,http://www.nhsdg.scot.nhs.uk/Dumfries_and_Galloway_NHS,['http://www.nhsdg.scot.nhs.uk/sitemap.xml']
15983,NHS Greater Glasgow and Clyde,LIVE,QA issues found,False,False,False,True,http://www.nhsggc.org.uk/,['http://www.nhsggc.org.uk/seo-sitemap']
48263,NHS Borders,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.nhsborders.scot.nhs.uk/patients-and-visitors/,[]
16047,NHS Education for Scotland (NES),LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.nes.scot.nhs.uk/,['http://www.nes.scot.nhs.uk/sitemap.aspx']
16029,Mental Welfare Commission for Scotland,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.mwcscot.org.uk/,['http://www.mwcscot.org.uk/cultivsearchenginesitemap.aspx']
13903,Midlothian Council,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.midlothian.gov.uk/,"['https://www.midlothian.gov.uk/images', 'https://www.midlothian.gov.uk/sitemap.xml']"
56563,Judicial Appointments Board for Scotland,LIVE,"QA issues, but OK to publish",False,False,False,True,https://www.judicialappointments.scot/,['https://www.judicialappointments.scot/sites/all/themes']
48262,Judicial Appointments Board for Scotland,LIVE,"QA issues, but OK to publish",False,False,False,True,https://www.judicialappointmentsscotland.gov.uk/,[]
15951,Her Majesty's Inspectorate of Constabulary in Scotland (HMICS),LIVE,QA issues found,False,False,False,True,http://www.hmics.org/,['http://www.hmics.org/sitemap/']
16051,NHS Health Scotland,LIVE,QA issues found,True,False,True,False,http://www.healthscotland.com/,[]
83770,Scottish Sentencing Council,LIVE,"QA issues, but OK to publish",False,False,False,False,https://www.scottishsentencingcouncil.org.uk/,['https://www.scottishsentencingcouncil.org.uk/site-map/']
3007,Bòrd na Gàidhlig ,DEAD,"QA issues, but OK to publish",False,False,False,True,http://www.gaidhlig.org.uk/,[]
13897,Falkirk Council,LIVE,No QA issues found (OK to publish),False,False,False,True,https://www.falkirk.gov.uk/,[]
13890,Dundee City Council,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.dundeecity.gov.uk,['http://www.dundeecity.gov.uk/sitemap.xml']
13945,Dumfries and Galloway Council,LIVE,"QA issues, but OK to publish",False,False,False,False,http://dumgal.gov.uk/,[]
48261,"Crown Office and Procurator Fiscal Service, The (COPFS)",DEAD,QA issues found,False,False,False,False,http://crownoffice.gov.uk/,[]
13889,Clackmannanshire Council Online,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.clacks.gov.uk/,[]
14518,Children's Hearings Scotland (CHS),LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.chscotland.gov.uk,[]
72470,Argyll and Bute Council,,"QA issues, but OK to publish",False,False,False,True,http://www.argyll-bute.gov.uk/,[]
50556,Health & Care Professions Council,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.hcpc-uk.org/,[]
13885,Aberdeenshire Council,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.aberdeenshire.gov.uk,['https://www.aberdeenshire.gov.uk/sitemap/']
13884,Aberdeen City Council: The official website,LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.aberdeencity.gov.uk/,['https://www.aberdeencity.gov.uk/sitemap.xml']
15981,NHS Forth Valley,LIVE,No QA issues found (OK to publish),True,False,True,True,http://nhsforthvalley.com/,['https://nhsforthvalley.com/sitemap.xml']
83736,World Wide Words,LIVE,QA issues found,False,False,False,False,http://www.worldwidewords.org/,['http://www.worldwidewords.org/sitemap.xml']
11290,Scottish Ambulance Service,,"QA issues, but OK to publish",False,False,False,False,http://www.scottishambulance.com/,[]
72345,Public Contracts Scotland,,"QA issues, but OK to publish",False,False,False,True,https://www.publiccontractsscotland.gov.uk/Default.aspx,[]
16733,Public Contracts Scotland,LIVE,"QA issues, but OK to publish",False,False,False,False,http://www.publiccontractsscotland.gov.uk,[]
15986,NHS Lothian,LIVE,QA issues found,True,False,False,True,http://www.nhslothian.scot.nhs.uk/Pages/default.aspx,['https://www.nhslothian.scot.nhs.uk/sitemap.xml']
15949,"Court of the Lord Lyon, The",LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.lyon-court.com/,[]
15889,Accountant in Bankruptcy (AiB),LIVE,"QA issues, but OK to publish",False,False,False,True,https://www.aib.gov.uk/,"['https://www.aib.gov.uk/sites/all/themes/omega/omega/css/', 'https://www.aib.gov.uk/debt-arrangement-scheme/sitemap.xml', 'https://www.aib.gov.uk/sitemap']"
14552,Skills Development Scotland,LIVE,QA issues found,False,False,False,True,http://www.skillsdevelopmentscotland.co.uk/,[]
15532,Revenue Scotland,LIVE,QA issues found,False,False,False,True,https://www.revenue.scot/,[]
3158,Scottish Natural Heritage / Dualchas Nàdair na h-Alba,LIVE,QA issues found,False,False,False,True,http://www.snh.gov.uk/,['http://www.snh.gov.uk/sitemap.xml']
3147,Scottish Development International (SDI),LIVE,QA issues found,False,False,False,False,http://www.sdi.co.uk/,[]
3159,Scottish Parliament - Parlamaid na h-Alba,LIVE,QA issues found,False,False,False,True,http://www.scottish.parliament.uk/,[]
3120,Police Scotland,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.scotland.police.uk/,[]
15896,Student Awards Agency For Scotland (SAAS),LIVE,No QA issues found (OK to publish),True,False,False,True,http://www.saas.gov.uk/,['http://www.saas.gov.uk/sitemap.xml']
3130,Royal Commission on the Ancient and Historical Monuments of Scotland (RCAHMS),LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.rcahms.gov.uk/,[]
3094,National Library of Scotland,LIVE,QA issues found,False,False,False,False,http://digital.nls.uk/,['http://www.nls.uk/']
3021,Business Gateway,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.bgateway.com/,[]
11883,cameras | a co-ordinated agenda for marine environment rural affairs science,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.camerasscotland.org/,[]
10015,Plaid Cymru (@Plaid_Cymru) on Twitter,LIVE,"QA issues, but OK to publish",True,False,False,False,https://twitter.com/Plaid_Cymru/,[]
10052,Welsh Liberal Democrats (@WelshLibDems) on Twitter,LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/WelshLibDems/,[]
10049,Welsh Conservatives (@WelshConserv) on Twitter,LIVE,QA issues found,True,False,False,False,https://twitter.com/WelshConserv/,[]
10051,Welsh Labour (@WelshLabour) on Twitter ,LIVE,"QA issues, but OK to publish",True,False,False,False,https://twitter.com/welshlabour/,[]
18245,"Welsh Liberal Democrats, Democrataid Rhyddfrydol Cymru",LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.demrhyddcymru.cymru/,['http://www.welshlibdems.wales/']
18245,"Welsh Liberal Democrats, Democrataid Rhyddfrydol Cymru",LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.demrhyddcymru.cymru/,['http://www.welshlibdems.wales/']
10048,Wales Green Party (@WalesGreenParty) on Twitter,LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/WalesGreenParty/,[]
1219,"View from Rural Wales, A - Glyn Davies",,QA issues found,False,False,False,True,http://glyn-davies.blogspot.co.uk/,[]
40075,UKIP Wales (@UKIPWales) on Twitter,LIVE,No QA issues found (OK to publish),False,False,False,False,https://twitter.com/ukipwales/,[]
2939,Notts County F.C.,,QA issues found,False,False,False,False,http://www.nottscountyfc.co.uk/,[]
3090,National Army Museum,LIVE,QA issues found,False,False,False,False,https://www.nam.ac.uk/,['http://www.nam.ac.uk/']
19895,Rural Payments and Services,LIVE,No QA issues found (OK to publish),False,False,False,True,https://www.ruralpayments.org/,[]
83374,NHS inform,LIVE,"QA issues, but OK to publish",False,False,False,False,http://nhsinform.co.uk/,[]
1218,Socialist Party Wales: Death of Margaret Thatcher,,No QA issues found (OK to publish),False,False,False,True,http://www.socialistpartywales.org.uk/,"['http://www.socialistparty.org.uk/articles/9735', 'http://www.socialistpartywales.org.uk/news156.shtml']"
9577,"Welsh Conservatives, Ceidwadwyr Cymreig",LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.welshconservatives.com/,[]
9578,Welsh Labour | Llafur Cymru,LIVE,QA issues found,True,False,False,True,http://www.welshlabour.org.uk/,['https://www.welshlabour.wales/']
36797,West Aberdeenshire & Kincardine | Conservatives and Unionists,LIVE,No QA issues found (OK to publish),False,False,False,False,http://www.wakconservatives.com/,[]
3144,Scottish Conservatives,LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.scottishconservatives.com/,['http://www.scottishconservatives.com/sitemap.xml']
2177,Highlands and Islands Scottish Christian Party,DEAD,No QA issues found (OK to publish),False,False,False,True,http://www.highlandscp.org/,['http://www.scottishchristianparty.org.uk/about']
4051,The Conservative Party,LIVE,"QA issues, but OK to publish",True,False,False,False,http://www.conservatives.com/,"['https://s3.eu-west-2.amazonaws.com/manifesto2017/Manifesto2017.pdf', 'https://www.conservatives.com/', 'http://press.conservatives.com/']"
